transaction_year,"Agriculture, forestry, fishing",Banking and financial services,Basic education,Communications,Education,Energy generation and supply,General environmental protection,"Government and civil society, general",Health,Industry,Mineral resources and mining,Other,Other social infrastructure and services,Trade policy and regulations,Transport and storage,Water supply and sanitation
2004,7469576139.92628,7677657791.88824,352167010.64919996,1997541694.36258,5152216952.1198,1132581698.14454,,10722436047.48279,1557140225.15561,644134799.77747,7027411.41376,175685285.3442,11175308986.08762,,1327407741.94719,9401146595.20868
2005,5088724567.45065,5582364687.90631,557724363.9813,1782069594.6328,8654159078.10804,1928910117.379654,,4380510266.71202,1464648125.5507998,516461829.736,986219911.9177,255056873.77199998,6400395504.93178,48290768.1008,1642394848.30858,11918443835.83986
2006,3106579993.99405,8275690689.1225605,108531112.1976,933387791.9355,2722832925.26275,4196269929.82164,,9016553543.56746,3957035761.9866,564732557.2197,228405483.20306,,6136301959.592,,487118617.0617,10190038749.05988
2007,6053853049.42777,5295744743.5421505,66061544.6987,1409905652.21348,6681610606.73645,1516740720.95863,,10736166152.59341,948496999.55001,239359550.25135,267288171.49335998,147265349.686,8408329397.10048,,1174617400.7318,16231785838.82926
2008,4941992732.92634,12364775326.34996,,1237380669.6995,6124463513.80037,4770573703.30902,41759432.2003,9896457033.09811,3229155672.5924,1038104644.07943,1409276438.1817,132734032.2875,14404596932.62747,939587224.508,2463704739.28128,13805994362.60414
2009,3536273674.5605,20845998544.715702,54370150.1692,1978604253.02062,6887672694.34654,9498909991.30051,,6589989552.44422,2286618141.55064,1627419941.59576,735141276.50403,,23820455871.80488,72509629.053,17417238244.7571,19864370754.03799
2010,5807070382.91546,7185786257.80606,1869011178.7998,2042905814.0018802,14399961944.77119,14274857440.62158,,7356437335.3646,5557386927.30445,603937161.24596,142783688.13706,,14151410882.33328,1529933740.8973,14392532647.140799,20302415251.81389
2011,3865164582.476,3103604003.2437,600000000.0,4222060000.0,6984721517.404,6641471300.15476,,4340773041.7042,3802493773.0995,738800000.0,712000000.0,,9914389555.48246,70000000.0,7959178668.4439,17177444667.38509
2012,2668209391.88,977916341.67336,,554839884.216458,3405750754.868148,2085043316.4412,137104656.577,1825002008.1152802,2660796471.82416,1744746102.72784,540014044.0956,14727655.7481,6981399746.44916,235642491.9692,4032137590.7044,9691003669.41629
2013,3000098250.76753,1577300751.54181,180759922.1502,1092564615.16538,3240405655.84054,1235984701.96887,150805420.7654,1644553771.7195,1932581796.24109,273722167.82710004,766277461.9777,15493707.6128,9351072292.64884,116202807.09655,3162327698.6110797,4832446087.88844
2014,3257420000.0,6085100000.0,1436200000.0,802500000.0,2705800000.0,4770300000.0,246600000.0,2702000000.0,1889970000.0,1047520000.0,1113000000.0,,6712410000.0,382200000.0,3956070000.0,9200530000.0
