project_id,is_geocoded,project_title,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements,transaction_year,transaction_currency,transaction_value,primary_sectors
P124054,1,ML-Strengthening Reproductive Health,World Bank,DAC,Mali,MLI,120|121,"Health, general|Health",Implementation,2011,2017,30000000.0,,2011.0,USD,30000000.0,Health
P102288,1,Afghanistan: Emergency National Solidarity Project II,World Bank,DAC,Afghanistan,AFG,311|160|210|140,Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage,Completion,2006,2011,131772394.156,218926094.636,2006.0,USD,131772394.156,Water supply and sanitation
P102288,1,Afghanistan: Emergency National Solidarity Project II,World Bank,DAC,Afghanistan,AFG,311|160|210|140,Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage,Completion,2006,2011,131772394.156,218926094.636,2006.0,USD,136756674.17,Water supply and sanitation
P102288,1,Afghanistan: Emergency National Solidarity Project II,World Bank,DAC,Afghanistan,AFG,311|160|210|140,Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage,Completion,2006,2011,131772394.156,218926094.636,2009.0,USD,82169420.4663,Water supply and sanitation
P118375,1,Road Upgrading and Modernization Project,World Bank,DAC,Belarus,BLR,210,Transport and storage,Implementation,2010,2015,153197637.607,20988269.7897,2010.0,USD,153197637.607,Transport and storage
P118375,1,Road Upgrading and Modernization Project,World Bank,DAC,Belarus,BLR,210,Transport and storage,Implementation,2010,2015,153197637.607,20988269.7897,2010.0,USD,20988269.7897,Transport and storage
P102915,1,Re-engagement and Reform Support Program,World Bank,DAC,Liberia,LBR,151,"Government and civil society, general",Completion,2007,2008,458870292.5,432441720.784,2007.0,USD,458870292.5,"Government and civil society, general"
P102915,1,Re-engagement and Reform Support Program,World Bank,DAC,Liberia,LBR,151,"Government and civil society, general",Completion,2007,2008,458870292.5,432441720.784,2007.0,USD,432441720.784,"Government and civil society, general"
P115347,1,School Based Management (APL II),World Bank,DAC,Mexico,MEX,111|113|112,"Education, level unspecified|Secondary education|Basic education",Completion,2010,2014,224689868.49,117304151.052,2010.0,USD,224689868.49,Education
P115347,1,School Based Management (APL II),World Bank,DAC,Mexico,MEX,111|113|112,"Education, level unspecified|Secondary education|Basic education",Completion,2010,2014,224689868.49,117304151.052,2010.0,USD,117304151.052,Education
