transaction_year,primary_sectors,total_commitments,total_disbursements,transaction_value
2004,"Agriculture, forestry, fishing",7469576139.92628,6886685982.03726,6702448073.63297
2004,Banking and financial services,7677657791.88824,8423339430.2770605,7505298299.083706
2004,Basic education,352167010.64919996,368648744.8464,350733829.2504
2004,Communications,1997541694.36258,2054688372.57492,1856205883.93375
2004,Education,5152216952.1198,4949094547.32268,4336066418.196381
2004,Energy generation and supply,1132581698.14454,1341818198.77486,1084224695.70496
2004,"Government and civil society, general",10722436047.48279,11997665037.31466,9742503599.188517
2004,Health,1557140225.15561,1610357525.5831,1121208516.648813
2004,Industry,644134799.77747,420486041.67276,503433146.51936
2004,Mineral resources and mining,7027411.41376,7400426.41162,7213918.912690001
2004,Other,175685285.3442,267591300.026,179206169.69239998
2004,Other social infrastructure and services,11175308986.08762,10834851563.50106,10065545829.88956
2004,Transport and storage,1327407741.94719,1011587525.28431,1033522921.38402
2004,Water supply and sanitation,9401146595.20868,9328566704.32604,8103300208.940793
2005,"Agriculture, forestry, fishing",5088724567.45065,4877962839.254676,4428823048.239348
2005,Banking and financial services,5582364687.90631,5542236975.13752,5209094384.9058695
2005,Basic education,557724363.9813,488914445.45769995,523319404.7195
2005,Communications,1782069594.6328,1660505817.59774,1576888662.301025
2005,Education,8654159078.10804,8519799871.5951805,8022589285.92576
2005,Energy generation and supply,1928910117.379654,1698735678.242876,1786915676.247035
2005,"Government and civil society, general",4380510266.71202,3542267946.6579432,3842828426.8004417
2005,Health,1464648125.5507998,1654940982.28042,1431507996.28911
2005,Industry,516461829.736,504499090.5308,501713288.8454
2005,Mineral resources and mining,986219911.9177,411463022.3977,713034852.4219
2005,Other,255056873.77199998,243338449.521,166131774.431
2005,Other social infrastructure and services,6400395504.93178,6411295802.85794,6189585534.46251
2005,Trade policy and regulations,48290768.1008,37098955.072799996,42694861.5868
2005,Transport and storage,1642394848.30858,1355260572.80066,1358869683.19087
2005,Water supply and sanitation,11918443835.83986,10962103537.01396,9904547956.7873
2006,"Agriculture, forestry, fishing",3106579993.99405,3213554056.456122,2730287027.540051
2006,Banking and financial services,8275690689.1225605,8539508750.38734,6728277365.7584
2006,Basic education,108531112.1976,87908828.0777,79680807.00490001
2006,Communications,933387791.9355,675560763.80294,601841894.66082
2006,Education,2722832925.26275,2527289925.40552,2331361890.710307
2006,Energy generation and supply,4196269929.82164,3414977333.7083,3801768398.64188
2006,"Government and civil society, general",9016553543.56746,7842200354.3225,7529622090.490095
2006,Health,3957035761.9866,3636951710.532,3793152833.1149898
2006,Industry,564732557.2197,519106115.76514,499616899.53509
2006,Mineral resources and mining,228405483.20306,239975939.2885,227828589.56915
2006,Other social infrastructure and services,6136301959.592,5264052340.37821,5609602272.41742
2006,Transport and storage,487118617.0617,588397095.25272,468445283.39651
2006,Water supply and sanitation,10190038749.05988,8656325074.3184,7750490060.92896
2007,"Agriculture, forestry, fishing",6053853049.42777,3769610466.308578,4171815490.166924
2007,Banking and financial services,5295744743.5421505,5620014124.73438,3977614976.365822
2007,Basic education,66061544.6987,62362589.79468,21994926.31389
2007,Communications,1409905652.21348,957681136.1557001,943295660.29932
2007,Education,6681610606.73645,5720145501.64428,5517662468.5777
2007,Energy generation and supply,1516740720.95863,503323674.127802,981225938.810831
2007,"Government and civil society, general",10736166152.59341,9173434915.623966,8041880805.080393
2007,Health,948496999.55001,824656026.419158,772582397.6628189
2007,Industry,239359550.25135,64686301.530889995,145079295.61478
2007,Mineral resources and mining,267288171.49335998,263908778.46315,264617344.98975998
2007,Other,147265349.686,0.0,147265349.686
2007,Other social infrastructure and services,8408329397.10048,7223683016.42592,7321645173.43518
2007,Transport and storage,1174617400.7318,512789017.04542005,735527649.27241
2007,Water supply and sanitation,16231785838.82926,12368699225.34682,11001889771.57642
2008,"Agriculture, forestry, fishing",4941992732.92634,4595177229.49229,3845219109.684773
2008,Banking and financial services,12364775326.34996,11584759466.50707,10995289303.02436
2008,Communications,1237380669.6995,772902016.50178,827320177.20883
2008,Education,6124463513.80037,7237219697.220959,5438394875.80065
2008,Energy generation and supply,4770573703.30902,4240784573.0728755,3516916235.203768
2008,General environmental protection,41759432.2003,0.0,41759432.2003
