transaction_year,recipients,recipients_iso3,total_commitments
2004,Afghanistan,AFG,5856176.17814
2004,Afghanistan,AFG,29280880.8907
2004,Afghanistan,AFG,40993233.247
2004,Afghanistan,AFG,93698818.8503
2004,Afghanistan,AFG,122979699.741
2004,Africa,Unspecified,11712352.3563
2004,Africa,Unspecified,69688496.5199
2004,Africa,Unspecified,70039867.0906
2004,Africa,Unspecified,112895364.362
2004,Albania,ALB,11712352.3563
2004,Albania,ALB,17568528.5344
2004,Albania,ALB,29280880.8907
2004,Angola,AGO,24595939.9482
2004,Argentina,ARG,159053744.998
2004,Argentina,ARG,234247047.126
2004,Argentina,ARG,585617617.814
2004,Armenia,ARM,2049661.66235
2004,Armenia,ARM,6031861.46349
2004,Armenia,ARM,7905837.84049
2004,Armenia,ARM,11888037.6416
2004,Armenia,ARM,19222239.808
2004,Armenia,ARM,22253469.4769
2004,Armenia,ARM,23424704.7126
2004,Armenia,ARM,26938410.4194
2004,Azerbaijan,AZE,11712352.3563
2004,Azerbaijan,AZE,17568528.5344
2004,Bangladesh,BGD,18154146.1522
2004,Bangladesh,BGD,23424704.7126
2004,Bangladesh,BGD,46849409.4251
2004,Bangladesh,BGD,59732997.017
2004,Bangladesh,BGD,117123523.563
2004,Bangladesh,BGD,175685285.344
2004,Bangladesh,BGD,234247047.126
2004,Bangladesh,BGD,292808808.907
2004,Benin,BEN,23424704.7126
2004,Benin,BEN,52705585.6033
2004,Benin,BEN,58561761.7814
2004,Bhutan,BTN,6793164.36664
2004,Bolivia,BOL,29280880.8907
2004,Bolivia,BOL,35137057.0688
2004,Bosnia and Herzegovina,BIH,14054822.8275
2004,Bosnia and Herzegovina,BIH,23424704.7126
2004,Bosnia and Herzegovina,BIH,39821998.0114
2004,Bosnia and Herzegovina,BIH,59732997.017
2004,Brazil,BRA,5621929.13102
2004,Brazil,BRA,14195371.0558
2004,Brazil,BRA,28203344.4739
2004,Brazil,BRA,35137057.0688
2004,Brazil,BRA,36893909.9223
2004,Brazil,BRA,42164468.4826
2004,Brazil,BRA,117123523.563
2004,Brazil,BRA,588569130.608
2004,Brazil,BRA,591532355.754
2004,Brazil,BRA,670180801.826
2004,Bulgaria,BGR,175685285.344
2004,Burkina Faso,BFA,11712352.3563
2004,Burkina Faso,BFA,70274114.1377
2004,Burkina Faso,BFA,74467136.2812
2004,Burundi,BDI,30452116.1263
2004,Burundi,BDI,38650762.7757
2004,Burundi,BDI,40993233.247
2004,Burundi,BDI,60201491.1113
2004,Cameroon,CMR,23424704.7126
2004,Caribbean,Unspecified,10541117.1207
2004,Chad,TCD,26938410.4194
2004,Chad,TCD,29280880.8907
2004,Chile,CHL,58866282.9427
2004,China,CHN,71445349.3733
2004,China,CHN,106582406.442
2004,China,CHN,149918110.16
2004,China,CHN,155774286.339
2004,China,CHN,201452460.528
2004,China,CHN,234247047.126
2004,Colombia,COL,2342470.47126
2004,Colombia,COL,35137057.0688
2004,Colombia,COL,117123523.563
2004,Colombia,COL,234247047.126
2004,Colombia,COL,292808808.907
2004,Comoros,COM,15577428.6339
2004,"Congo, Democratic Republic of",COD,70274114.1377
2004,"Congo, Democratic Republic of",COD,117123523.563
2004,"Congo, Democratic Republic of",COD,119465994.034
2004,"Congo, Democratic Republic of",COD,234247047.126
2004,"Congo, Republic of",COG,22253469.4769
2004,"Congo, Republic of",COG,23424704.7126
2004,"Congo, Republic of",COG,35137057.0688
2004,Croatia,HRV,55680523.1018
2004,Djibouti,DJI,7566179.62216
2004,Dominica,DMA,3513705.70688
2004,Dominican Republic,DOM,8550017.22009
2004,Dominican Republic,DOM,14640440.4454
2004,Dominican Republic,DOM,117123523.563
2004,Ecuador,ECU,23424704.7126
2004,Ecuador,ECU,39821998.0114
2004,"Egypt, Arab Republic of",EGY,392363803.935
2004,Eritrea,ERI,58561761.7814
2004,Ethiopia,ETH,28109645.6551
2004,Ethiopia,ETH,29280880.8907
2004,Ethiopia,ETH,46849409.4251
2004,Ethiopia,ETH,81986466.494
2004,Ethiopia,ETH,117123523.563
2004,Ethiopia,ETH,140548228.275
2004,Ethiopia,ETH,152260580.632
2004,Ethiopia,ETH,188451749.413
2004,Georgia,GEO,4216446.84826
2004,Georgia,GEO,23424704.7126
2004,Georgia,GEO,28109645.6551
2004,Georgia,GEO,34197294.1731
2004,Ghana,GHA,30452116.1263
