transaction_year,"Agriculture, forestry, fishing",Banking and financial services,Basic education,Communications,Education,Energy generation and supply,General environmental protection,"Government and civil society, general",Health,Industry,Mineral resources and mining,Other,Other social infrastructure and services,Trade policy and regulations,Transport and storage,Water supply and sanitation
2004,66.0,45.0,4.0,22.0,64.0,14.0,,94.0,34.0,17.0,2.0,2.0,144.0,,14.0,123.0
2005,71.0,43.0,8.0,21.0,74.0,25.0,,77.0,25.0,10.0,7.0,3.0,68.0,4.0,21.0,126.0
2006,44.0,45.0,3.0,15.0,48.0,26.0,,92.0,27.0,17.0,10.0,,87.0,,12.0,132.0
2007,81.0,44.0,3.0,10.0,72.0,15.0,,127.0,27.0,5.0,8.0,1.0,98.0,,12.0,173.0
2008,67.0,60.0,,14.0,55.0,37.0,1.0,105.0,48.0,11.0,15.0,2.0,89.0,2.0,21.0,173.0
2009,68.0,57.0,2.0,15.0,61.0,57.0,,37.0,39.0,16.0,14.0,,117.0,4.0,68.0,166.0
2010,76.0,40.0,7.0,36.0,91.0,47.0,,65.0,34.0,13.0,6.0,,106.0,10.0,62.0,180.0
2011,62.0,39.0,2.0,39.0,48.0,34.0,,41.0,29.0,15.0,9.0,,91.0,4.0,49.0,119.0
2012,28.0,14.0,,13.0,26.0,14.0,1.0,18.0,16.0,21.0,4.0,1.0,31.0,3.0,19.0,78.0
2013,36.0,17.0,2.0,17.0,28.0,17.0,3.0,19.0,19.0,5.0,4.0,1.0,59.0,3.0,24.0,39.0
2014,40.0,29.0,4.0,16.0,31.0,28.0,4.0,25.0,24.0,12.0,5.0,,50.0,4.0,24.0,68.0
